name,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Arbutus-Ridge,493,507,511,529,532,544,570,594,608,617,641,669,696,752,764,797,823,832,835,851,878,918,941,953,970,983,985,988,996,1004,1018
Downtown,522,525,529,530,532,541,560,562,581,592,625,631,641,666,683,690,713,755,764,783,821,851,875,888,897,908,910,912,913,913,915
Dunbar-Southlands,1163,1172,1179,1190,1198,1208,1226,1269,1291,1341,1356,1397,1435,1477,1506,1569,1585,1607,1635,1673,1684,1734,1761,1802,1859,1865,1877,1878,1885,1892,1912
Fairview,533,542,545,545,546,547,557,566,576,590,603,613,613,631,641,649,659,688,692,719,727,742,747,762,768,771,774,777,778,778,781
Grandview-Woodland,673,701,702,705,719,742,757,774,831,866,872,908,962,990,1015,1033,1046,1101,1122,1130,1146,1158,1186,1212,1243,1279,1289,1289,1290,1292,1297
Hastings-Sunrise,883,980,991,1056,1158,1217,1268,1312,1358,1421,1447,1492,1513,1553,1637,1709,1740,1821,1860,1943,1967,2009,2046,2076,2096,2120,2137,2137,2138,2153,2168
Kensington-Cedar Cottage,1266,1272,1287,1313,1391,1445,1485,1576,1640,1682,1709,1756,1874,1908,1951,2024,2052,2080,2104,2131,2175,2204,2289,2310,2368,2404,2419,2419,2422,2429,2433
Kerrisdale,918,928,929,935,950,950,970,1002,1024,1059,1102,1109,1118,1182,1199,1227,1242,1276,1315,1347,1365,1393,1417,1433,1460,1504,1527,1528,1529,1529,1529
Killarney,636,642,647,657,679,703,738,775,789,838,867,898,912,934,942,978,998,1020,1048,1059,1105,1121,1130,1169,1222,1230,1234,1235,1238,1244,1250
Kitsilano,1140,1148,1150,1151,1170,1194,1222,1246,1266,1280,1303,1320,1326,1356,1377,1414,1418,1438,1451,1502,1512,1530,1569,1614,1625,1636,1649,1649,1653,1658,1666
Marpole,695,698,701,710,717,751,770,810,843,898,928,955,980,1025,1043,1059,1079,1124,1155,1203,1220,1244,1253,1279,1322,1351,1369,1371,1373,1378,1383
Mount Pleasant,642,659,663,743,756,762,775,805,829,848,857,869,876,899,909,921,931,953,972,990,1047,1068,1093,1105,1122,1136,1143,1143,1145,1146,1154
Oakridge,470,486,486,500,555,560,598,618,643,663,690,705,715,742,749,765,791,806,839,858,874,889,900,919,987,1003,1005,1006,1011,1016,1019
Renfrew-Collingwood,1049,1052,1074,1127,1156,1174,1257,1330,1395,1474,1511,1560,1589,1634,1664,1723,1777,1839,1948,1993,2033,2080,2142,2161,2275,2311,2331,2331,2342,2352,2364
Riley Park,732,733,741,754,786,797,829,843,876,890,907,959,1031,1056,1075,1117,1147,1156,1177,1207,1251,1291,1313,1330,1362,1387,1401,1401,1413,1415,1416
Shaughnessy,868,868,869,873,882,891,906,927,941,979,1010,1031,1043,1060,1086,1129,1154,1164,1169,1183,1212,1230,1262,1292,1325,1337,1342,1342,1342,1345,1350
South Cambie,320,323,325,326,337,340,352,380,405,420,446,495,524,532,537,552,563,573,576,591,620,629,643,656,666,673,677,677,679,681,682
Strathcona,239,239,239,239,245,246,283,288,291,317,321,324,330,330,333,339,352,361,374,378,385,393,404,415,442,455,459,459,459,459,464
Sunset,851,856,859,871,894,938,962,979,1020,1087,1120,1179,1211,1261,1294,1317,1349,1402,1464,1532,1561,1584,1619,1668,1706,1754,1757,1757,1760,1761,1772
Victoria-Fraserview,784,798,798,814,822,865,898,968,994,1068,1102,1140,1190,1242,1284,1316,1371,1392,1409,1432,1481,1505,1542,1576,1612,1655,1678,1679,1682,1685,1693
West End,518,523,523,526,544,550,553,564,568,583,604,608,614,624,628,633,643,663,666,671,682,683,694,710,717,721,725,725,728,729,729
West Point Grey,582,586,590,603,620,624,645,687,698,715,743,754,762,773,791,812,830,868,889,903,906,912,933,946,973,978,987,987,990,993,1005
